Date,Description,Amount,Currency,Status
19-01-2020,SENTRY,80,USD,Non-Duplicate
17-01-2020,STOPLIGHT INC,116,USD,Non-Duplicate
16-01-2020,FRESHWORKS INC,75,USD,Non-Duplicate
15-01-2020,ATLASSIAN,586.6,USD,Non-Duplicate
15-01-2020,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-01-2020,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
10-01-2020,FRESHWORKS INC,116,USD,Non-Duplicate
10-01-2020,RUSTICI SOFTWARE,340.26,USD,Non-Duplicate
07-01-2020,FIGMA INC.,75,USD,Non-Duplicate
05-01-2020,CENTER CENTRE INC,29,USD,Non-Duplicate
03-01-2020,New Relic,2411,USD,Non-Duplicate
01-01-2020,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-01-2020,MONGODB LTD,107.79,USD,Non-Duplicate
01-01-2020,MONGODB LTD,1007.72,USD,Non-Duplicate
01-01-2020,PayPal,29,USD,Non-Duplicate
31-12-2019,INSTABUG,209,USD,Non-Duplicate
31-12-2019,PUSHY,16.91,USD,Non-Duplicate
30-12-2019,PayPal,469.87,USD,Non-Duplicate
30-12-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-12-2019,PayPal,29.95,USD,Non-Duplicate
25-12-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-12-2019,PLURALSIGHT,29,USD,Non-Duplicate
21-12-2019,LARACASTS,9,USD,Non-Duplicate
19-12-2019,SENTRY,80,USD,Non-Duplicate
17-12-2019,STOPLIGHT INC,116,USD,Non-Duplicate
16-12-2019,FRESHWORKS INC,75,USD,Non-Duplicate
16-12-2019,PAYPAL,50,USD,Non-Duplicate
15-12-2019,ATLASSIAN,605.2,USD,Non-Duplicate
15-12-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-12-2019,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
13-12-2019,PayPal,21.44,USD,Non-Duplicate
10-12-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-12-2019,RUSTICI SOFTWARE,367.98,USD,Non-Duplicate
07-12-2019,FIGMA INC.,75,USD,Non-Duplicate
07-12-2019,MONGODB LTD,71.84,USD,Non-Duplicate
06-12-2019,New Relic,2411,USD,Non-Duplicate
05-12-2019,MONGODB LTD,1007.74,USD,Non-Duplicate
05-12-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
05-12-2019,CHARGE.ELASTIC.CO,748.44,USD,Non-Duplicate
01-12-2019,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-12-2019,PayPal,29,USD,Non-Duplicate
01-12-2019,PUSHY,2.78,USD,Non-Duplicate
30-11-2019,INSTABUG,209,USD,Non-Duplicate
30-11-2019,PayPal,933.87,USD,Non-Duplicate
30-11-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-11-2019,PayPal,29.95,USD,Non-Duplicate
25-11-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
25-11-2019,PLURALSIGHT,29,USD,Non-Duplicate
24-11-2019,101DOMAIN.COM,59.99,USD,Non-Duplicate
21-11-2019,LARACASTS,9,USD,Non-Duplicate
19-11-2019,SENTRY,80,USD,Non-Duplicate
17-11-2019,STOPLIGHT INC,104.77,USD,Non-Duplicate
16-11-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-11-2019,ATLASSIAN,623.8,USD,Non-Duplicate
15-11-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-11-2019,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
12-11-2019,PayPal,33.23,USD,Non-Duplicate
10-11-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-11-2019,RUSTICI SOFTWARE,626.04,USD,Non-Duplicate
09-11-2019,KALTURA,10500,USD,Non-Duplicate
07-11-2019,FIGMA INC.,60,USD,Non-Duplicate
06-11-2019,KALTURA,10000,USD,Non-Duplicate
05-11-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-11-2019,New Relic,2411,USD,Non-Duplicate
02-11-2019,CHARGE.ELASTIC.CO,804.87,USD,Non-Duplicate
01-11-2019,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-11-2019,MONGODB LTD,1032.56,USD,Non-Duplicate
01-11-2019,PayPal,29,USD,Non-Duplicate
01-11-2019,PUSHY,3.02,USD,Non-Duplicate
31-10-2019,INSTABUG,209,USD,Non-Duplicate
30-10-2019,PayPal,1164.87,USD,Non-Duplicate
30-10-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-10-2019,PayPal,29.95,USD,Non-Duplicate
25-10-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
23-10-2019,101DOMAINGRS LTD,3.99,USD,Non-Duplicate
23-10-2019,101DOMAINGRS LTD,171.96,USD,Non-Duplicate
22-10-2019,PLURALSIGHT,29,USD,Non-Duplicate
21-10-2019,LARACASTS,9,USD,Non-Duplicate
21-10-2019,POSTMARK,75,USD,Non-Duplicate
19-10-2019,SENTRY,80,USD,Non-Duplicate
17-10-2019,STOPLIGHT INC,96.16,USD,Non-Duplicate
16-10-2019,FRESHWORKS INC,75,USD,Non-Duplicate
16-10-2019,WISH.COM             SAN FRANCISCO      CA,3.85,USD,Non-Duplicate
15-10-2019,ATLASSIAN,595.9,USD,Non-Duplicate
15-10-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-10-2019,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
15-10-2019,INTUIT PAYROLL       888-537-7794       CA,59.7,USD,Non-Duplicate
12-10-2019,New Relic,2411,USD,Non-Duplicate
10-10-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-10-2019,RUSTICI SOFTWARE,865.62,USD,Non-Duplicate
08-10-2019,PayPal,66.46,USD,Non-Duplicate
07-10-2019,FIGMA INC.,60,USD,Non-Duplicate
05-10-2019,SEMRUSH.COM,99.95,USD,Non-Duplicate
05-10-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
01-10-2019,MONGODB LTD,686.85,USD,Non-Duplicate
01-10-2019,PayPal,29,USD,Non-Duplicate
01-10-2019,PUSHY,3.65,USD,Non-Duplicate
01-10-2019,WIRECARD,780.24,USD,Non-Duplicate
30-09-2019,PayPal,523.87,USD,Non-Duplicate
30-09-2019,INSTABUG,249,USD,Non-Duplicate
30-09-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-09-2019,PayPal,29.95,USD,Non-Duplicate
25-09-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
25-09-2019,Pluralsight,29,USD,Non-Duplicate
23-09-2019,SENTRY,51,USD,Non-Duplicate
21-09-2019,LARACASTS,9,USD,Non-Duplicate
19-09-2019,SENTRY,70.65,USD,Non-Duplicate
17-09-2019,STOPLIGHT INC,145,USD,Non-Duplicate
16-09-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-09-2019,ATLASSIAN,568,USD,Non-Duplicate
15-09-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-09-2019,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
14-09-2019,PayPal,311.83,USD,Non-Duplicate
11-09-2019,HUBSPOT ASIA PTE LTD,13482,USD,Non-Duplicate
10-09-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-09-2019,RUSTICI SOFTWARE,1054.05,USD,Non-Duplicate
07-09-2019,FIGMA INC.,60,USD,Non-Duplicate
05-09-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
04-09-2019,HUBSPOT ASIA PTE LTD,1027.2,USD,Non-Duplicate
03-09-2019,WIRECARD BANK AG,99,USD,Non-Duplicate
03-09-2019,New Relic,2411,USD,Non-Duplicate
03-09-2019,TYPEFORM S.L,70,USD,Non-Duplicate
02-09-2019,WIRECARD,793.71,USD,Non-Duplicate
01-09-2019,MONGODB LTD,710.57,USD,Non-Duplicate
01-09-2019,PayPal,29,USD,Non-Duplicate
01-09-2019,PUSHY,4.04,USD,Non-Duplicate
31-08-2019,INSTABUG,249,USD,Non-Duplicate
30-08-2019,PayPal,454.87,USD,Non-Duplicate
30-08-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-08-2019,PayPal,29.95,USD,Non-Duplicate
25-08-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-08-2019,Pluralsight,29,USD,Non-Duplicate
21-08-2019,LARACASTS,9,USD,Non-Duplicate
19-08-2019,SENTRY,37.98,USD,Non-Duplicate
17-08-2019,STOPLIGHT INC,145,USD,Non-Duplicate
16-08-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-08-2019,ATLASSIAN,568,USD,Non-Duplicate
15-08-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-08-2019,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
10-08-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-08-2019,RUSTICI SOFTWARE,944.82,USD,Non-Duplicate
07-08-2019,FIGMA INC.,30,USD,Non-Duplicate
06-08-2019,New Relic,2411,USD,Non-Duplicate
05-08-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-08-2019,STRIPE,70,USD,Non-Duplicate
02-08-2019,WIRECARD,760.81,USD,Non-Duplicate
01-08-2019,STRIPE,613.72,USD,Non-Duplicate
01-08-2019,PayPal,29,USD,Non-Duplicate
01-08-2019,PUSHY,4.41,USD,Non-Duplicate
31-07-2019,INSTABUG,249,USD,Non-Duplicate
30-07-2019,PayPal,456.87,USD,Non-Duplicate
30-07-2019,ZEPLIN INC.,100,USD,Non-Duplicate
28-07-2019,PayPal,29.95,USD,Non-Duplicate
25-07-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
25-07-2019,MERCADOPAGO COLOMBIA,9.62,USD,Non-Duplicate
25-07-2019,MERCADOPAGO COLOMBIA,9.62,USD,Duplicate
23-07-2019,PAYPAL,66,USD,Non-Duplicate
22-07-2019,Pluralsight,29,USD,Non-Duplicate
21-07-2019,LARACASTS,9,USD,Non-Duplicate
19-07-2019,POSTMARK,75,USD,Non-Duplicate
19-07-2019,SENTRY,29,USD,Non-Duplicate
17-07-2019,STOPLIGHT INC,170.64,USD,Non-Duplicate
16-07-2019,APPLE ONLINE USA     CUPERTINO          CA,299,USD,Non-Duplicate
16-07-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-07-2019,ATLASSIAN,623.8,USD,Non-Duplicate
15-07-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-07-2019,INTUIT QUICKBOOKS,21.32,USD,Non-Duplicate
10-07-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-07-2019,RUSTICI SOFTWARE,538.92,USD,Non-Duplicate
07-07-2019,FIGMA INC.,60,USD,Non-Duplicate
05-07-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
04-07-2019,STOPLIGHT.IO         AUSTIN             TX,-74.31,USD,Non-Duplicate
03-07-2019,LINKEDIN SG - ONLINE - USD,10.7,USD,Non-Duplicate
03-07-2019,New Relic,2411,USD,Non-Duplicate
03-07-2019,STRIPE,70,USD,Non-Duplicate
01-07-2019,WIRECARD BANK AG,99,USD,Non-Duplicate
01-07-2019,STRIPE,511.33,USD,Non-Duplicate
01-07-2019,PayPal,29,USD,Non-Duplicate
01-07-2019,PUSHY,4.28,USD,Non-Duplicate
01-07-2019,WIRECARD,855.93,USD,Non-Duplicate
30-06-2019,PayPal,419.87,USD,Non-Duplicate
30-06-2019,INSTABUG,249,USD,Non-Duplicate
30-06-2019,ZEPLIN INC.,100,USD,Non-Duplicate
29-06-2019,STOPLIGHT,88,USD,Non-Duplicate
28-06-2019,PayPal,29.95,USD,Non-Duplicate
25-06-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
23-06-2019,STRIPE,8686.83,USD,Non-Duplicate
22-06-2019,LINKEDIN SG - ONLINE - USD,38.97,USD,Non-Duplicate
22-06-2019,Pluralsight,29,USD,Non-Duplicate
22-06-2019,RECRUITERBOX INC.,3000,USD,Non-Duplicate
21-06-2019,LARACASTS,9,USD,Non-Duplicate
20-06-2019,PRIVATE INTERNET ACCESS INC.,39.95,USD,Non-Duplicate
19-06-2019,SENTRY,30,USD,Non-Duplicate
17-06-2019,STOPLIGHT INC,116,USD,Non-Duplicate
16-06-2019,FRESHWORKS INC,75,USD,Non-Duplicate
16-06-2019,LINKEDIN SG - ONLINE - USD,123.8,USD,Non-Duplicate
15-06-2019,ATLASSIAN,856.3,USD,Non-Duplicate
15-06-2019,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-06-2019,INTUIT QUICKBOOKS,21.32,USD,Non-Duplicate
15-06-2019,PayPal,366.28,USD,Non-Duplicate
14-06-2019,PayPal,229.99,USD,Non-Duplicate
13-06-2019,LINKEDIN SG - ONLINE - USD,44.73,USD,Non-Duplicate
10-06-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-06-2019,RUSTICI SOFTWARE,360.72,USD,Non-Duplicate
07-06-2019,FIGMA INC.,60,USD,Non-Duplicate
05-06-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
04-06-2019,WIRECARD BANK AG,99,USD,Non-Duplicate
04-06-2019,New Relic,1221.49,USD,Non-Duplicate
03-06-2019,STRIPE,70,USD,Non-Duplicate
02-06-2019,ZEPLIN INC.,100,USD,Non-Duplicate
02-06-2019,WIRECARD,964.22,USD,Non-Duplicate
01-06-2019,STRIPE,441.32,USD,Non-Duplicate
01-06-2019,PayPal,29,USD,Non-Duplicate
01-06-2019,PUSHY,4.85,USD,Non-Duplicate
31-05-2019,INSTABUG,249,USD,Non-Duplicate
30-05-2019,PayPal,417.87,USD,Non-Duplicate
29-05-2019,STOPLIGHT,88,USD,Non-Duplicate
28-05-2019,New Relic,1475,USD,Non-Duplicate
28-05-2019,PayPal,29.95,USD,Non-Duplicate
25-05-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
25-05-2019,IAF,100,USD,Non-Duplicate
24-05-2019,POSTMARK,75,USD,Non-Duplicate
22-05-2019,Pluralsight,29,USD,Non-Duplicate
21-05-2019,LARACASTS,9,USD,Non-Duplicate
19-05-2019,SENTRY,29,USD,Non-Duplicate
17-05-2019,FS *AHREFS.COM       877-327-8914       CA,7,USD,Non-Duplicate
17-05-2019,STOPLIGHT INC,116,USD,Non-Duplicate
16-05-2019,FRESHWORKS INC,75,USD,Non-Duplicate
16-05-2019,INTUIT QUICKBOOKS,21.32,USD,Non-Duplicate
15-05-2019,ATLASSIAN,856.3,USD,Non-Duplicate
15-05-2019,BUENO TECHNOLOGIES INC,38,USD,Non-Duplicate
10-05-2019,Amazon Marketplace,1509.99,USD,Non-Duplicate
10-05-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-05-2019,RUSTICI SOFTWARE,310.56,USD,Non-Duplicate
09-05-2019,BUENO TECHNOLOGIES INC,30,USD,Non-Duplicate
07-05-2019,FIGMA INC.,15,USD,Non-Duplicate
07-05-2019,STRIPE,672,USD,Non-Duplicate
06-05-2019,WIRECARD BANK AG,71.51,USD,Non-Duplicate
05-05-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-05-2019,STRIPE,70,USD,Non-Duplicate
03-05-2019,ZEPLIN INC.,100,USD,Non-Duplicate
02-05-2019,WIRECARD,878.4,USD,Non-Duplicate
01-05-2019,STRIPE,427.12,USD,Non-Duplicate
01-05-2019,PayPal,29,USD,Non-Duplicate
01-05-2019,PUSHY,5.71,USD,Non-Duplicate
30-04-2019,INSTABUG,249,USD,Non-Duplicate
30-04-2019,PayPal,463.87,USD,Non-Duplicate
29-04-2019,STOPLIGHT,88,USD,Non-Duplicate
28-04-2019,New Relic,1475,USD,Non-Duplicate
28-04-2019,PayPal,29.95,USD,Non-Duplicate
25-04-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-04-2019,Pluralsight,29,USD,Non-Duplicate
21-04-2019,LARACASTS,9,USD,Non-Duplicate
19-04-2019,SENTRY,29,USD,Non-Duplicate
16-04-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-04-2019,ATLASSIAN,647,USD,Non-Duplicate
15-04-2019,BUENO TECHNOLOGIES INC,38,USD,Non-Duplicate
11-04-2019,PAYPAL,58,USD,Non-Duplicate
10-04-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-04-2019,RUSTICI SOFTWARE,368.97,USD,Non-Duplicate
07-04-2019,PayPal,66.46,USD,Non-Duplicate
07-04-2019,WIRECARD,699.58,USD,Non-Duplicate
05-04-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-04-2019,STRIPE,70,USD,Non-Duplicate
01-04-2019,STRIPE,441.55,USD,Non-Duplicate
01-04-2019,PayPal,29,USD,Non-Duplicate
01-04-2019,PUSHY,7.33,USD,Non-Duplicate
31-03-2019,INSTABUG,249,USD,Non-Duplicate
30-03-2019,PayPal,573.87,USD,Non-Duplicate
30-03-2019,ZEPLIN INC.,100,USD,Non-Duplicate
29-03-2019,STOPLIGHT,88,USD,Non-Duplicate
28-03-2019,New Relic,1475,USD,Non-Duplicate
28-03-2019,PayPal,29.95,USD,Non-Duplicate
25-03-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-03-2019,Pluralsight,29,USD,Non-Duplicate
21-03-2019,AMAZON.COM*MW45Q8ZK2 AMZN.COM/BILL      WA,1163.9,USD,Non-Duplicate
21-03-2019,LARACASTS,9,USD,Non-Duplicate
19-03-2019,SENTRY,29,USD,Non-Duplicate
19-03-2019,Shutterstock.com 866-663-3954,39,USD,Non-Duplicate
16-03-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-03-2019,ATLASSIAN,619,USD,Non-Duplicate
15-03-2019,BUENO TECHNOLOGIES INC,38,USD,Non-Duplicate
11-03-2019,PAYPAL,58,USD,Non-Duplicate
10-03-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-03-2019,RUSTICI SOFTWARE,366.33,USD,Non-Duplicate
07-03-2019,WIRECARD,631.88,USD,Non-Duplicate
05-03-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-03-2019,STRIPE,70,USD,Non-Duplicate
02-03-2019,POSTMARK,75,USD,Non-Duplicate
01-03-2019,HUBSPOT ASIA PTE LTD,13482,USD,Non-Duplicate
01-03-2019,STRIPE,398.42,USD,Non-Duplicate
01-03-2019,PayPal,29,USD,Non-Duplicate
01-03-2019,PayPal,501.87,USD,Non-Duplicate
28-02-2019,INSTABUG,249,USD,Non-Duplicate
28-02-2019,New Relic,1475,USD,Non-Duplicate
28-02-2019,PayPal,29.95,USD,Non-Duplicate
28-02-2019,PUSHY,6.95,USD,Non-Duplicate
28-02-2019,STOPLIGHT,88,USD,Non-Duplicate
28-02-2019,ZEPLIN INC.,100,USD,Non-Duplicate
25-02-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-02-2019,PAYPAL *UNITYTECHNO,147.5,USD,Non-Duplicate
22-02-2019,Pluralsight,29,USD,Non-Duplicate
21-02-2019,LARACASTS,9,USD,Non-Duplicate
19-02-2019,SENTRY,129,USD,Non-Duplicate
16-02-2019,FRESHWORKS INC,75,USD,Non-Duplicate
15-02-2019,ATLASSIAN,619,USD,Non-Duplicate
15-02-2019,BUENO TECHNOLOGIES INC,38,USD,Non-Duplicate
11-02-2019,PAYPAL,58,USD,Non-Duplicate
10-02-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-02-2019,RUSTICI SOFTWARE,372.27,USD,Non-Duplicate
06-02-2019,PAYPAL,198,USD,Non-Duplicate
05-02-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-02-2019,STRIPE,70,USD,Non-Duplicate
02-02-2019,PayPal,29,USD,Non-Duplicate
01-02-2019,STRIPE,441.18,USD,Non-Duplicate
01-02-2019,PUSHY,7.92,USD,Non-Duplicate
01-02-2019,WIRECARD,460.72,USD,Non-Duplicate
31-01-2019,INSTABUG,249,USD,Non-Duplicate
30-01-2019,PayPal,470.87,USD,Non-Duplicate
30-01-2019,ZEPLIN INC.,100,USD,Non-Duplicate
29-01-2019,STOPLIGHT,88,USD,Non-Duplicate
28-01-2019,New Relic,1475,USD,Non-Duplicate
28-01-2019,PayPal,29.95,USD,Non-Duplicate
25-01-2019,BROWSERSTACK INC,129,USD,Non-Duplicate
22-01-2019,EGGHEAD IO LLC,49.99,USD,Non-Duplicate
22-01-2019,PAYPAL *UNITYTECHNO,147.5,USD,Non-Duplicate
22-01-2019,Pluralsight,29,USD,Non-Duplicate
21-01-2019,LARACASTS,9,USD,Non-Duplicate
20-01-2019,SENTRY,129,USD,Non-Duplicate
18-01-2019,POSTMARK,75,USD,Non-Duplicate
16-01-2019,FRESHWORKS INC,75,USD,Non-Duplicate
16-01-2019,STRIPE,51.05,USD,Non-Duplicate
15-01-2019,ATLASSIAN,598,USD,Non-Duplicate
15-01-2019,BUENO TECHNOLOGIES INC,38,USD,Non-Duplicate
12-01-2019,PayPal,58,USD,Non-Duplicate
10-01-2019,FRESHWORKS INC,116,USD,Non-Duplicate
10-01-2019,RUSTICI SOFTWARE,329.04,USD,Non-Duplicate
05-01-2019,CENTER CENTRE INC,29,USD,Non-Duplicate
03-01-2019,STRIPE,70,USD,Non-Duplicate
01-01-2019,STRIPE,441.32,USD,Non-Duplicate
01-01-2019,PUSHY,8.01,USD,Non-Duplicate
01-01-2019,WIRECARD,338,USD,Non-Duplicate
05-01-2020,PUSHY*PUSHY PRO Sheridan,25.55,SGD,Non-Duplicate
05-02-2020,CALENDLY ATLANTA,14.52,SGD,Non-Duplicate
05-03-2020,Quickbooks Online London,42.8,SGD,Non-Duplicate
29-03-2020,PAYPAL *MONGODBLTD 0876412056,1482.32,SGD,Non-Duplicate
01-04-2020,FASTSPRING BV*FS *SNOVI AMSTERDAM,204,SGD,Non-Duplicate
01-04-2020,PAYPAL *MONGODBLTD 0876412056,158.38,SGD,Non-Duplicate
01-04-2020,PUSHY*PUSHY PRO Sheridan,24.64,SGD,Non-Duplicate
02-04-2020,CALENDLY ATLANTA,14.71,SGD,Non-Duplicate
03-04-2020,Quickbooks Online London,42.8,SGD,Non-Duplicate
04-04-2020,MIXPANEL INC. SAN FRANCISCO,221.6,SGD,Non-Duplicate
05-04-2020,BITEABLE PTY LTD HOBART,42.84,SGD,Non-Duplicate
09-04-2020,FRESHWORKS INC SAN BRUNO,169.49,SGD,Non-Duplicate
10-04-2020,RUSTICI SOFTWARE-SCORM FRANKLIN,818.78,SGD,Non-Duplicate
11-04-2020,FRESHWORKS INC SAN BRUNO,65.25,SGD,Non-Duplicate
14-04-2020,101DOMAIN 760-444-8674,473.4,SGD,Non-Duplicate
17-04-2020,BRANDON HALL GROUP INC SAN JOSE,840.57,SGD,Non-Duplicate
23-04-2020,Quickbooks Online London,34.92,SGD,Non-Duplicate
